Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
7.01,0.0,0.15,1.2,0.0,0.0,0.0
7.1,0.0761,0.0983,1.0871,-4.17,-0.21,0.08
7.11,0.0,0.15,1.2,0.0,0.0,0.0
7.21,0.0,0.15,1.2,0.0,0.0,0.0
7.3,0.0711,0.1268,1.0891,-3.12,-0.2,-1.02
7.4,0.0649,0.141,1.0845,-2.06,-0.19,-1.61
7.5,0.0573,0.1521,1.0768,-0.79,-0.17,-2.09
7.61,0.0486,0.1597,1.0664,0.36,-0.15,-2.46
7.7,0.0401,0.1631,1.0548,0.47,-0.15,-2.71
7.8,0.0,0.15,1.2,0.24,-0.06,0.1
7.81,0.0316,0.1623,1.0417,0.58,-0.15,-2.77
7.91,0.0248,0.1573,1.0297,0.67,-0.15,-2.6
8.0,0.0,0.15,1.2,0.25,-0.06,0.1
8.01,0.0198,0.1481,1.0186,0.75,-0.15,-2.22
8.1,0.0,0.15,1.2,0.25,-0.06,0.1
8.2,0.0,0.15,1.2,0.25,-0.06,0.11
8.21,0.0177,0.1229,1.0052,0.82,-0.15,-1.11
8.3,0.0,0.15,1.2,0.25,-0.06,0.11
8.31,0.0205,0.1088,1.0036,0.82,-0.15,-0.48
8.4,0.0,0.15,1.2,0.0,0.0,0.0
8.41,0.0,0.15,1.2,0.26,-0.06,0.11
8.5,0.0,0.15,1.2,0.0,0.0,0.0
8.51,0.0,0.15,1.2,0.26,-0.06,0.11
8.6,0.0,0.15,1.2,0.0,0.0,0.0
8.61,0.0,0.15,1.2,0.26,-0.06,0.11
8.7,0.0494,0.0693,1.0304,0.65,0.03,0.34
8.71,0.0,0.15,1.2,0.0,0.0,0.0
8.8,0.0,0.15,1.2,0.0,0.0,0.0
8.81,0.0,0.15,1.2,0.26,-0.06,0.11
8.91,0.0,0.15,1.2,0.26,-0.06,0.11
9.0,0.0,0.15,1.2,0.26,-0.06,0.11
9.1,0.0756,0.0856,1.0812,0.45,-0.09,0.33
9.2,0.0772,0.097,1.0901,0.44,-0.12,0.27
9.21,0.0,0.15,1.2,0.0,0.0,0.0
9.3,0.0,0.15,1.2,0.0,0.0,0.0
9.4,0.0,0.15,1.2,0.0,0.0,0.0
9.41,0.0,0.15,1.2,0.26,-0.07,0.12
9.5,0.0,0.15,1.2,0.26,-0.07,0.12
9.61,0.0649,0.1493,1.0956,0.55,-0.16,-0.68
9.7,0.0,0.15,1.2,0.26,-0.07,0.12
9.8,0.0,0.15,1.2,0.26,-0.07,0.12
9.81,0.0538,0.1646,1.0801,0.68,-0.16,-0.91
9.9,0.0,0.15,1.2,0.26,-0.07,0.13
9.91,0.0493,0.1673,1.0703,0.74,-0.16,-0.85
10.0,0.046,0.1668,1.0598,0.79,-0.16,-0.69
10.11,0.0,0.15,1.2,0.0,0.0,0.0
10.2,0.0,0.15,1.2,0.0,0.0,0.0
10.31,0.0,0.15,1.2,0.25,-0.07,0.13
10.4,0.0486,0.1376,1.0288,0.89,-0.14,0.23
10.41,0.0,0.15,1.2,0.0,0.0,0.0
10.51,0.0,0.15,1.2,0.0,0.0,0.0
10.6,0.0,0.15,1.2,0.0,0.0,0.0
10.61,0.0,0.15,1.2,0.24,-0.07,0.14
10.7,0.0,0.15,1.2,0.24,-0.07,0.14
10.81,0.0702,0.0925,1.0407,0.71,-0.03,0.35
10.9,0.0755,0.0841,1.0505,0.64,-0.01,0.35
11.0,0.0799,0.0777,1.062,0.56,0.01,0.34
11.01,0.0,0.15,1.2,0.0,0.0,0.0
11.11,0.0,0.15,1.2,0.0,0.0,0.0
11.2,0.0,0.15,1.2,0.0,0.0,0.0
11.21,0.0,0.15,1.2,0.23,-0.07,0.16
11.3,0.0,0.15,1.2,0.22,-0.07,0.16
11.31,0.0868,0.0717,1.1049,-0.37,-0.07,0.37
11.4,0.0864,0.0742,1.1183,-1.57,-0.13,0.36
11.51,0.0,0.15,1.2,0.0,0.0,0.0
11.6,0.0825,0.0846,1.1418,-3.73,-0.17,0.34
11.61,0.0,0.15,1.2,0.0,0.0,0.0
11.7,0.0,0.15,1.2,0.0,0.0,0.0
11.8,0.0,0.15,1.2,0.0,0.0,0.0
11.81,0.0,0.15,1.2,0.2,-0.08,0.18
11.9,0.0,0.15,1.2,0.2,-0.08,0.18
12.0,0.0,0.15,1.2,0.19,-0.08,0.18
12.11,0.0657,0.1269,1.1697,-8.36,-0.22,0.45
12.2,0.0635,0.1349,1.1697,-9.15,-0.23,0.49
12.21,0.0,0.15,1.2,0.0,0.0,0.0
12.31,0.0,0.15,1.2,0.0,0.0,0.0
12.4,0.0,0.15,1.2,0.0,0.0,0.0
12.5,0.0616,0.1538,1.1628,-11.41,-0.24,0.6
12.51,0.0,0.15,1.2,0.0,0.0,0.0
12.6,0.0,0.15,1.2,0.16,-0.08,0.2
12.61,0.0629,0.1579,1.1591,-12.19,-0.24,0.63
