Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
30.41,-0.0783,0.0955,1.1773,37.48,7.93,-16.73
30.51,-0.0753,0.092,1.1815,38.4,8.09,-16.99
30.6,0.0,0.15,1.2,-0.21,-0.03,0.0
30.71,0.0,0.15,1.2,-0.2,-0.03,-0.0
30.8,0.0,0.15,1.2,-0.19,-0.03,-0.01
30.9,0.0,0.15,1.2,0.0,0.0,0.0
30.91,0.0,0.15,1.2,-0.18,-0.03,-0.02
31.0,-0.2235,-0.1627,-0.1045,880.24,-3655.91,8896.28
31.01,0.0,0.15,1.2,0.0,0.0,0.0
31.1,-0.0106,-0.1228,-0.0382,-2427.04,-5655.14,9801.02
31.11,0.0,0.15,1.2,0.0,0.0,0.0
31.2,0.0,0.15,1.2,0.0,0.0,0.0
31.21,0.0,0.15,1.2,-0.16,-0.02,-0.04
31.31,0.0,0.15,1.2,-0.15,-0.02,-0.04
31.4,0.0,0.15,1.2,-0.14,-0.02,-0.05
31.41,-0.0408,0.0732,1.2039,37.89,7.12,-11.89
31.5,-0.0373,0.0727,1.2048,33.77,3.29,-1.53
31.51,-0.2745,0.1231,-0.2215,825.25,-269.36,-3097.58
31.61,-0.1047,0.3118,-0.3477,344.57,-261.56,-3744.3
31.7,-0.0299,0.0725,1.2061,32.33,2.92,-0.79
31.8,-0.0265,0.0729,1.2064,31.58,2.86,-0.78
31.81,0.3921,0.1329,-0.3103,1512.11,-679.84,-2595.49
31.9,-0.023,0.0737,1.2066,30.68,2.78,-0.76
31.91,0.3895,-0.2756,-0.2765,1342.67,-848.06,-2176.55
32.01,-0.0196,0.0748,1.2067,29.63,2.72,-0.73
32.1,0.0,0.15,1.2,-0.08,-0.0,-0.09
32.11,-0.0162,0.0764,1.2066,28.47,2.64,-0.69
32.21,0.0,0.15,1.2,-0.07,-0.0,-0.1
32.3,0.0,0.15,1.2,0.0,0.0,0.0
32.31,0.0,0.15,1.2,-0.06,-0.0,-0.1
32.41,0.0,0.15,1.2,0.0,0.0,0.0
32.51,-0.0031,0.0862,1.2043,23.05,2.3,-0.53
32.6,0.0,0.15,1.2,0.0,0.0,0.0
32.61,0.0,0.15,1.2,-0.03,0.0,-0.12
32.7,0.0,0.15,1.2,0.0,0.0,0.0
32.71,0.0,0.15,1.2,-0.02,0.0,-0.12
32.8,0.0,0.15,1.2,-0.01,0.01,-0.13
32.9,0.0,0.15,1.2,-0.01,0.01,-0.13
32.91,0.0108,0.1025,1.1968,16.69,1.85,-0.37
